Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount,id
"197295601","32741333","5","1473907","2019-11-06 00:00:00","","32741333"
"170485549","50986816","2","","2018-09-02 00:00:00","","50986816"
"197398766","58749813","2","","2019-11-07 00:00:00","","58749813"
"197398809","52736868","2","","2019-11-07 00:00:00","","52736868"
"197398869","58749813","2","","2019-11-07 00:00:00","","58749813"
"197398934","58749813","3","","2019-11-07 00:00:00","","58749813"
"197399499","30296587","2","","2019-11-07 00:00:00","","30296587"
"170590784","51612524","2","","2018-09-04 00:00:00","","51612524"
"170590789","51612524","5","4369820","2018-09-04 00:00:00","","51612524"
"170594051","41731704","2","","2018-09-04 00:00:00","","41731704"
"170594376","52158366","2","","2018-09-04 00:00:00","","52158366"
"144501742","45515650","8","1845593","2017-08-07 00:00:00","50","45515650"
"144502782","45551966","2","","2017-08-07 00:00:00","","45551966"
"144503844","45510905","8","5506061","2017-08-07 00:00:00","50","45510905"
"144504645","45551966","5","1364288","2017-08-07 00:00:00","","45551966"
"144504866","45551966","2","","2017-08-07 00:00:00","","45551966"
"197403876","47837207","5","1582284","2019-11-07 00:00:00","","47837207"
"197405225","56546484","2","","2019-11-07 00:00:00","","56546484"
"89717443","30027545","5","967203","2015-05-22 00:00:00","","30027545"
"116380538","29117570","5","212239","2016-06-20 00:00:00","","29117570"
"116380540","29117570","2","","2016-06-20 00:00:00","","29117570"
"116512593","30422184","2","","2016-06-21 00:00:00","","30422184"
"144639740","44301997","5","1227940","2017-08-09 00:00:00","","44301997"
"197526032","58762856","2","","2019-11-09 00:00:00","","58762856"
"89866962","30422184","2","","2015-05-25 00:00:00","","30422184"
"170721235","49100994","5","418343","2018-09-05 00:00:00","","49100994"
"170721236","49100994","2","","2018-09-05 00:00:00","","49100994"
"144645779","45007694","2","","2017-08-09 00:00:00","","45007694"
"197529027","53869629","2","","2019-11-09 00:00:00","","53869629"
"89875053","30422184","2","","2015-05-25 00:00:00","","30422184"
"144660571","36705199","2","","2017-08-09 00:00:00","","36705199"
"170725743","49443206","2","","2018-09-05 00:00:00","","49443206"
"170811609","52198591","2","","2018-09-06 00:00:00","","52198591"
"170813917","49836268","2","","2018-09-07 00:00:00","","49836268"
"116617575","37897058","2","","2016-06-23 00:00:00","","37897058"
"116630970","37985551","16","","2016-06-23 00:00:00","","37985551"
"144766158","41837933","2","","2017-08-10 00:00:00","","41837933"
"197628199","56129216","2","","2019-11-11 00:00:00","","56129216"
"197628516","58804953","2","","2019-11-11 00:00:00","","58804953"
"197632292","32534401","5","606568","2019-11-11 00:00:00","","32534401"
"144861616","45644454","16","","2017-08-11 00:00:00","","45644454"
"197724325","58826958","3","","2019-11-13 00:00:00","","58826958"
"144870159","45637090","2","","2017-08-12 00:00:00","","45637090"
"144874789","45644454","15","","2017-08-12 00:00:00","","45644454"
"144875632","45648115","16","","2017-08-12 00:00:00","","45648115"
"144875687","45648115","2","","2017-08-12 00:00:00","","45648115"
"144876825","45648115","2","","2017-08-12 00:00:00","","45648115"
"170921902","29761872","2","","2018-09-09 00:00:00","","29761872"
"170921907","29761872","5","1071979","2018-09-09 00:00:00","","29761872"
"197836566","58849429","3","","2019-11-14 00:00:00","","58849429"
"197837502","58861168","2","","2019-11-14 00:00:00","","58861168"
"197837507","58861168","5","2345933","2019-11-14 00:00:00","","58861168"
"144991454","45515650","2","","2017-08-14 00:00:00","","45515650"
"144991455","45515650","5","660675","2017-08-14 00:00:00","","45515650"
"144991477","45515650","2","","2017-08-14 00:00:00","","45515650"
"144991488","45510905","2","","2017-08-14 00:00:00","","45510905"
"90236612","30422184","2","","2015-05-30 00:00:00","","30422184"
"197844056","57738802","2","","2019-11-14 00:00:00","","57738802"
"197844592","58861168","2","","2019-11-14 00:00:00","","58861168"
"197937371","58886923","5","627307","2019-11-16 00:00:00","","58886923"
"197939091","54230664","5","1625367","2019-11-16 00:00:00","","54230664"
"171126280","52266348","2","","2018-09-12 00:00:00","","52266348"
"90355600","30422184","2","","2015-06-01 00:00:00","","30422184"
"116974683","34841789","2","","2016-06-28 00:00:00","","34841789"
"116974685","34841789","5","3781320","2016-06-28 00:00:00","","34841789"
"116974780","26331854","5","4905207","2016-06-28 00:00:00","","26331854"
"116974782","26331854","2","","2016-06-28 00:00:00","","26331854"
"116979523","37662379","5","3502091","2016-06-28 00:00:00","","37662379"
"197940167","58012162","5","9139637","2019-11-16 00:00:00","","58012162"
"197941557","58887971","3","","2019-11-16 00:00:00","","58887971"
"197942787","58887971","2","","2019-11-16 00:00:00","","58887971"
"197942791","58887971","5","10288039","2019-11-16 00:00:00","","58887971"
"197946322","58889429","3","","2019-11-16 00:00:00","","58889429"
"197947857","58862313","5","9689945","2019-11-16 00:00:00","","58862313"
"197947861","58862313","2","","2019-11-16 00:00:00","","58862313"
"171132349","52266348","5","10351766","2018-09-12 00:00:00","","52266348"
